Gene symbol	Class	Subclass	Element type	n	freq
aac(6')-29a	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	214	0.008610284058903999
blaPDC-12	BETA-LACTAM	CEPHALOSPORIN	AMR	214	0.008610284058903999
cmlA1	PHENICOL	CHLORAMPHENICOL	AMR	211	0.008489579142190392
blaOXA-4	BETA-LACTAM	BETA-LACTAM	AMR	210	0.008449344169952524
arr-2	RIFAMYCIN	RIFAMYCIN	AMR	207	0.008328639253238915
tmexC3	TETRACYCLINE	TIGECYCLINE	AMR	206	0.008288404281001046
aac(6')-29b	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	204	0.008207934336525308
amgS_V121G	AMINOGLYCOSIDE	AMIKACIN/TOBRAMYCIN	AMR	202	0.008127464392049569
dfrA5	TRIMETHOPRIM	TRIMETHOPRIM	AMR	196	0.007886054558622355
cmlA6	PHENICOL	CHLORAMPHENICOL	AMR	194	0.007805584614146616
qacF	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	185	0.007443469864005793
aac(6')-Ib'	AMINOGLYCOSIDE	GENTAMICIN	AMR	184	0.007403234891767925
blaOXA-1127	BETA-LACTAM	BETA-LACTAM	AMR	181	0.007282529975054317
blaPDC-36	BETA-LACTAM	CEPHALOSPORIN	AMR	181	0.007282529975054317
mexR_R83C	BETA-LACTAM	CARBAPENEM	AMR	181	0.007282529975054317
catA1	PHENICOL	CHLORAMPHENICOL	AMR	180	0.007242295002816448
cmx	PHENICOL	CHLORAMPHENICOL	AMR	180	0.007242295002816448
oprD_W65STOP	BETA-LACTAM	CARBAPENEM	AMR	180	0.007242295002816448
blaPDC-14	BETA-LACTAM	CEPHALOSPORIN	AMR	170	0.006839945280437756
glpT_T211P	FOSFOMYCIN	FOSFOMYCIN	AMR	170	0.006839945280437756
oprD_W417STOP	BETA-LACTAM	CARBAPENEM	AMR	170	0.006839945280437756
blaPDC-37	BETA-LACTAM	CEPHALOSPORIN	AMR	166	0.00667900539148628
gyrA_D87Y	QUINOLONE	QUINOLONE	AMR	165	0.006638770419248411
aadA7	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	161	0.006477830530296934
fusA1_Y552C	AMINOGLYCOSIDE	AMIKACIN	AMR	158	0.0063571256135833264
blaOXA-1034	BETA-LACTAM	BETA-LACTAM	AMR	154	0.00619618572463185
oprD_Q142STOP	BETA-LACTAM	CARBAPENEM	AMR	151	0.006075480807918242
blaIMP-26	BETA-LACTAM	CARBAPENEM	AMR	148	0.005954775891204635
ant(4')-IIb	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	AMR	145	0.005834070974491028
pmrB_H340R	COLISTIN	COLISTIN	AMR	145	0.005834070974491028
tmexC	TETRACYCLINE	TIGECYCLINE	AMR	143	0.005753601030015289
blaOXA-1033	BETA-LACTAM	BETA-LACTAM	AMR	140	0.0056328961133016815
mph(E)	MACROLIDE	ERYTHROMYCIN	AMR	139	0.005592661141063813
blaPDC-71	BETA-LACTAM	CEPHALOSPORIN	AMR	135	0.005431721252112336
pmrB_T343A	COLISTIN	COLISTIN	AMR	134	0.0053914862798744665
aadA10	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	132	0.005311016335398729
blaPDC-38	BETA-LACTAM	CEPHALOSPORIN	AMR	132	0.005311016335398729
blaTEM-1	BETA-LACTAM	BETA-LACTAM	AMR	132	0.005311016335398729
phoQ_V260G	COLISTIN	COLISTIN	AMR	125	0.0050293715297336445
blaPDC-121	BETA-LACTAM	CEPHALOSPORIN	AMR	124	0.004989136557495775
blaIMP-8	BETA-LACTAM	CARBAPENEM	AMR	123	0.004948901585257906
blaPDC-103	BETA-LACTAM	CEPHALOSPORIN	AMR	123	0.004948901585257906
gyrA_D87H	QUINOLONE	QUINOLONE	AMR	119	0.0047879616963064295
smr	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	STRESS	118	0.00474772672406856
blaPDC-6	BETA-LACTAM	CEPHALOSPORIN	AMR	116	0.004667256779592822
ere(A)	MACROLIDE	ERYTHROMYCIN	AMR	115	0.004627021807354953
blaVEB-9	BETA-LACTAM	CEPHALOSPORIN	AMR	114	0.004586786835117084
aph(3')-VI	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	AMR	111	0.004466081918403476
fusA1_R680C	AMINOGLYCOSIDE	AMIKACIN/TOBRAMYCIN	AMR	108	0.004345377001689869
aac(6')-29	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	105	0.004224672084976262
blaIMP-1	BETA-LACTAM	CARBAPENEM	AMR	105	0.004224672084976262
gyrB_S466Y	QUINOLONE	QUINOLONE	AMR	105	0.004224672084976262
arr-3	RIFAMYCIN	RIFAMYCIN	AMR	101	0.0040637321960247845
blaIMP-7	BETA-LACTAM	CARBAPENEM	AMR	101	0.0040637321960247845
ampD_T139M	BETA-LACTAM	CEPHALOSPORIN	AMR	100	0.004023497223786915
blaOXA-35	BETA-LACTAM	CEPHALOSPORIN	AMR	100	0.004023497223786915
rmtF2	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	100	0.004023497223786915
blaPDC-98	BETA-LACTAM	CEPHALOSPORIN	AMR	98	0.0039430272793111775
dfrB2	TRIMETHOPRIM	TRIMETHOPRIM	AMR	98	0.0039430272793111775
hsp20	NA	NA	STRESS	96	0.003862557334835439
blaPDC-60	BETA-LACTAM	CEPHALOSPORIN	AMR	94	0.0037820873903597007
oprD_W138STOP	BETA-LACTAM	CARBAPENEM	AMR	94	0.0037820873903597007
oprD_W339STOP	BETA-LACTAM	CARBAPENEM	AMR	94	0.0037820873903597007
aac(6')	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	93	0.0037418524181218314
blaOXA-901	BETA-LACTAM	BETA-LACTAM	AMR	93	0.0037418524181218314
blaPDC-66	BETA-LACTAM	CEPHALOSPORIN	AMR	93	0.0037418524181218314
ftsI_P527S	BETA-LACTAM	CARBAPENEM	AMR	92	0.0037016174458839625
rplB_G138D	AMINOGLYCOSIDE	TOBRAMYCIN	AMR	90	0.003621147501408224
blaPDC-39	BETA-LACTAM	CEPHALOSPORIN	AMR	89	0.003580912529170355
blaPDC-46	BETA-LACTAM	CEPHALOSPORIN	AMR	89	0.003580912529170355
blaPDC-22	BETA-LACTAM	CEPHALOSPORIN	AMR	88	0.0035406775569324857
catB	PHENICOL	CHLORAMPHENICOL	AMR	88	0.0035406775569324857
aacA37	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	85	0.003419972640218878
blaPAC-1	BETA-LACTAM	CEPHALOSPORIN	AMR	85	0.003419972640218878
aacA8	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	84	0.003379737667981009
aadA13	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	84	0.003379737667981009
parE_S457G	QUINOLONE	QUINOLONE	AMR	83	0.00333950269574314
aac(6')-IIa	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	AMR	81	0.003259032751267402
blaOXA-914	BETA-LACTAM	BETA-LACTAM	AMR	81	0.003259032751267402
rmtB4	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	81	0.003259032751267402
tmexD2	TETRACYCLINE	TIGECYCLINE	AMR	80	0.0032187977790295325
blaOXA-1026	BETA-LACTAM	BETA-LACTAM	AMR	79	0.0031785628067916632
blaPDC-97	BETA-LACTAM	CEPHALOSPORIN	AMR	78	0.0031383278345537943
blaOXA-906	BETA-LACTAM	BETA-LACTAM	AMR	77	0.003098092862315925
blaPDC-59	BETA-LACTAM	CEPHALOSPORIN	AMR	77	0.003098092862315925
gyrA_T83A	QUINOLONE	QUINOLONE	AMR	77	0.003098092862315925
blaOXA-1014	BETA-LACTAM	BETA-LACTAM	AMR	75	0.003017622917840187
blaOXA-1030	BETA-LACTAM	BETA-LACTAM	AMR	75	0.003017622917840187
blaOXA-1135	BETA-LACTAM	BETA-LACTAM	AMR	75	0.003017622917840187
gyrA_D87G	QUINOLONE	QUINOLONE	AMR	75	0.003017622917840187
blaAER	BETA-LACTAM	BETA-LACTAM	AMR	74	0.0029773879456023175
pmrB_A248T	COLISTIN	COLISTIN	AMR	73	0.0029371529733644482
aac(3)-IIe	AMINOGLYCOSIDE	GENTAMICIN	AMR	72	0.0028969180011265794
aac(6')-IIc	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	AMR	70	0.0028164480566508407
mreA	NA	NA	STRESS	68	0.0027359781121751026
blaGES-1	BETA-LACTAM	CEPHALOSPORIN	AMR	67	0.0026957431399372333
blaPER-1	BETA-LACTAM	CEPHALOSPORIN	AMR	67	0.0026957431399372333
blaVIM-4	BETA-LACTAM	CARBAPENEM	AMR	67	0.0026957431399372333
blaVIM-1	BETA-LACTAM	CARBAPENEM	AMR	66	0.0026555081676993644
blaOXA-913	BETA-LACTAM	BETA-LACTAM	AMR	65	0.002615273195461495
aph(3')-VIb	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	AMR	64	0.0025750382232236258
blaGES-9	BETA-LACTAM	CEPHALOSPORIN	AMR	64	0.0025750382232236258
ampR_D135G	BETA-LACTAM	CEPHALOSPORIN	AMR	63	0.002534803250985757
blaVEB-1	BETA-LACTAM	CEPHALOSPORIN	AMR	61	0.0024543333065100187
toprJ	TETRACYCLINE	TIGECYCLINE	AMR	61	0.0024543333065100187
blaPDC-142	BETA-LACTAM	CEPHALOSPORIN	AMR	60	0.0024140983342721494
fusA1_T671A	AMINOGLYCOSIDE	AMIKACIN/TOBRAMYCIN	AMR	60	0.0024140983342721494
mexZ_Q134STOP	BETA-LACTAM	CARBAPENEM	AMR	60	0.0024140983342721494
aac(3)-IId	AMINOGLYCOSIDE	GENTAMICIN	AMR	59	0.00237386336203428
blaPDC-41	BETA-LACTAM	CEPHALOSPORIN	AMR	59	0.00237386336203428
blaOXA-485	BETA-LACTAM	BETA-LACTAM	AMR	58	0.002333628389796411
blaVEB	BETA-LACTAM	CEPHALOSPORIN	AMR	58	0.002333628389796411
mph(A)	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN	AMR	58	0.002333628389796411
blaPME-1	BETA-LACTAM	CEPHALOSPORIN	AMR	57	0.002293393417558542
fusA1_T671I	AMINOGLYCOSIDE	AMIKACIN/TOBRAMYCIN	AMR	57	0.002293393417558542
parR_M59I	COLISTIN	COLISTIN	AMR	57	0.002293393417558542
oprD_W6STOP	BETA-LACTAM	CARBAPENEM	AMR	56	0.0022531584453206726
oprD_S319STOP	BETA-LACTAM	CARBAPENEM	AMR	55	0.0022129234730828037
aph(3')-IIa	AMINOGLYCOSIDE	KANAMYCIN	AMR	54	0.0021726885008449344
blaPDC-120	BETA-LACTAM	CEPHALOSPORIN	AMR	54	0.0021726885008449344
merG	MERCURY	PHENYLMERCURY	STRESS	54	0.0021726885008449344
blaIMP-31	BETA-LACTAM	CARBAPENEM	AMR	53	0.002132453528607065
blaOXA-1174	BETA-LACTAM	BETA-LACTAM	AMR	53	0.002132453528607065
blaOXA-246	BETA-LACTAM	BETA-LACTAM	AMR	52	0.0020922185563691962
dfrA14	TRIMETHOPRIM	TRIMETHOPRIM	AMR	52	0.0020922185563691962
rmtF	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	52	0.0020922185563691962
oprD_E176STOP	BETA-LACTAM	CARBAPENEM	AMR	51	0.002051983584131327
rmtB1	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	51	0.002051983584131327
blaOXA-9	BETA-LACTAM	BETA-LACTAM	AMR	50	0.0020117486118934576
blaVIM-80	BETA-LACTAM	CARBAPENEM	AMR	50	0.0020117486118934576
cmlB	PHENICOL	CHLORAMPHENICOL	AMR	50	0.0020117486118934576
dfrB1	TRIMETHOPRIM	TRIMETHOPRIM	AMR	50	0.0020117486118934576
fusA1_Q678L	AMINOGLYCOSIDE	AMIKACIN/TOBRAMYCIN	AMR	50	0.0020117486118934576
blaOXA-796	BETA-LACTAM	BETA-LACTAM	AMR	49	0.0019715136396555887
dfrA47	TRIMETHOPRIM	TRIMETHOPRIM	AMR	49	0.0019715136396555887
aac(2')-I(A267)	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMYCIN	AMR	47	0.0018910436951798503
blaPDC-286	BETA-LACTAM	CEPHALOSPORIN	AMR	47	0.0018910436951798503
aph(3')-Ib	AMINOGLYCOSIDE	KANAMYCIN	AMR	45	0.001810573750704112
blaRSC1	BETA-LACTAM	CEPHALOSPORIN	AMR	45	0.001810573750704112
blaGES	BETA-LACTAM	CEPHALOSPORIN	AMR	44	0.0017703387784662428
blaPDC-109	BETA-LACTAM	CEPHALOSPORIN	AMR	44	0.0017703387784662428
blaIMP-4	BETA-LACTAM	CARBAPENEM	AMR	43	0.0017301038062283738
blaOXA-1	BETA-LACTAM	CEPHALOSPORIN	AMR	43	0.0017301038062283738
oprD_Q424STOP	BETA-LACTAM	CARBAPENEM	AMR	43	0.0017301038062283738
aac(6')-33	AMINOGLYCOSIDE	AMINOGLYCOSIDE	AMR	41	0.0016496338617526354
blaPDC-64	BETA-LACTAM	CEPHALOSPORIN	AMR	41	0.0016496338617526354
blaKBL	BETA-LACTAM	BETA-LACTAM	AMR	40	0.0016093988895147663
blaOXA-1125	BETA-LACTAM	BETA-LACTAM	AMR	40	0.0016093988895147663
blaPDC-168	BETA-LACTAM	CEPHALOSPORIN	AMR	40	0.0016093988895147663
blaPDC-28	BETA-LACTAM	CEPHALOSPORIN	AMR	39	0.0015691639172768972
oprD_S278P	BETA-LACTAM	CARBAPENEM	AMR	39	0.0015691639172768972
aac(3)-C322	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	AMR	38	0.0015289289450390279
blaLCR-1	BETA-LACTAM	BETA-LACTAM	AMR	38	0.0015289289450390279
tmexD	TETRACYCLINE	TIGECYCLINE	AMR	38	0.0015289289450390279
blaIMP-51	BETA-LACTAM	CARBAPENEM	AMR	37	0.0014886939728011588
blaPDC-124	BETA-LACTAM	CEPHALOSPORIN	AMR	37	0.0014886939728011588
oprD_Q158STOP	BETA-LACTAM	CARBAPENEM	AMR	37	0.0014886939728011588
blaIMP-13	BETA-LACTAM	CARBAPENEM	AMR	36	0.0014484590005632897
blaOXA-908	BETA-LACTAM	BETA-LACTAM	AMR	35	0.0014082240283254204
blaPDC-127	BETA-LACTAM	CEPHALOSPORIN	AMR	35	0.0014082240283254204
blaOXA-1029	BETA-LACTAM	BETA-LACTAM	AMR	34	0.0013679890560875513
blaPDC-115	BETA-LACTAM	CEPHALOSPORIN	AMR	34	0.0013679890560875513
blaPDC-45	BETA-LACTAM	CEPHALOSPORIN	AMR	34	0.0013679890560875513
catB10	PHENICOL	CHLORAMPHENICOL	AMR	34	0.0013679890560875513
blaOXA-937	BETA-LACTAM	BETA-LACTAM	AMR	33	0.0013277540838496822
blaPDC-100	BETA-LACTAM	CEPHALOSPORIN	AMR	32	0.0012875191116118129
blaOXA-1025	BETA-LACTAM	BETA-LACTAM	AMR	31	0.0012472841393739438
blaPDC-107	BETA-LACTAM	CEPHALOSPORIN	AMR	31	0.0012472841393739438
blaPDC-62	BETA-LACTAM	CEPHALOSPORIN	AMR	31	0.0012472841393739438
blaOXA-1022	BETA-LACTAM	BETA-LACTAM	AMR	30	0.0012070491671360747
blaPDC-20	BETA-LACTAM	CEPHALOSPORIN	AMR	30	0.0012070491671360747
blaPDC-218	BETA-LACTAM	CEPHALOSPORIN	AMR	30	0.0012070491671360747
blaPDC-74	BETA-LACTAM	CEPHALOSPORIN	AMR	30	0.0012070491671360747
oprD_Q250STOP	BETA-LACTAM	CARBAPENEM	AMR	30	0.0012070491671360747
ampD_H157Y	BETA-LACTAM	CEPHALOSPORIN/TAZOBACTAM	AMR	29	0.0011668141948982056
blaOXA-129	BETA-LACTAM	BETA-LACTAM	AMR	29	0.0011668141948982056
blaOXA-902	BETA-LACTAM	BETA-LACTAM	AMR	29	0.0011668141948982056
pmrB_A54V	COLISTIN	COLISTIN	AMR	29	0.0011668141948982056
aph(6)-Ic	AMINOGLYCOSIDE	STREPTOMYCIN	AMR	28	0.0011265792226603363
arr	RIFAMYCIN	RIFAMYCIN	AMR	28	0.0011265792226603363
blaCTX-M-15	BETA-LACTAM	CEPHALOSPORIN	AMR	28	0.0011265792226603363
oprD_E140STOP	BETA-LACTAM	CARBAPENEM	AMR	28	0.0011265792226603363
ampR_R86C	BETA-LACTAM	CEPHALOSPORIN	AMR	26	0.0010461092781845981
blaIMP-15	BETA-LACTAM	CARBAPENEM	AMR	26	0.0010461092781845981
dfrA27	TRIMETHOPRIM	TRIMETHOPRIM	AMR	26	0.0010461092781845981
ftsI_G63S	BETA-LACTAM	CARBAPENEM	AMR	26	0.0010461092781845981
ftsI_H394R	BETA-LACTAM	CARBAPENEM	AMR	26	0.0010461092781845981
mexZ_E8STOP	BETA-LACTAM	CARBAPENEM	AMR	26	0.0010461092781845981
oprD_Y283STOP	BETA-LACTAM	CARBAPENEM	AMR	26	0.0010461092781845981
blaDIM-1	BETA-LACTAM	CARBAPENEM	AMR	25	0.0010058743059467288
dacB_T428P	BETA-LACTAM	CEPHALOSPORIN	AMR	25	0.0010058743059467288
qnrVC6	QUINOLONE	QUINOLONE	AMR	25	0.0010058743059467288
ampD_Q44STOP	BETA-LACTAM	CEPHALOSPORIN	AMR	24	9.656393337088597e-4
aph(3')-H48	AMINOGLYCOSIDE	KANAMYCIN	AMR	24	9.656393337088597e-4
